"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"81",81,"Census Tract 70",29.9,23,23,20.3,0.326211529732183,92656,102054,102054,98281,87314,555500,579200,579200,657600,555500,0.765432098765432,0.734567901234568,0.932098765432099,0.493827160493827,0,0
"82",82,"Census Tract 71",19.1,35.3,35.3,37.4,0.178902325581395,29493,39861,39861,72941,29063,461500,433800,433800,443000,505100,0.148148148148148,0.685185185185185,0.111111111111111,0.654320987654321,0,0
"83",83,"Census Tract 72",100,72.4,72.4,58.2,0.236092402464066,47885,80313,80313,91458,33911,360800,392000,392000,403400,369100,0.228395061728395,0.407407407407407,0.820987654320988,0.777777777777778,0,1
"84",84,"Census Tract 73.01",14.8,10.4,10.4,8,0.152753303964758,64821,66990,66990,72629,68333,0,0,0,0,0,0.611111111111111,0.0123456790123457,1,0.320987654320988,0,0
"85",85,"Census Tract 73.04",6.8,0,0,0,0.0819378323108384,31856,32000,32000,23867,36467,278300,265900,265900,246600,268400,0.283950617283951,0.240740740740741,0.197530864197531,0.0864197530864197,1,0
"86",86,"Census Tract 74.01",0,0,0,0,0.0817112582781457,19238,16000,16000,15393,18472,246400,258800,258800,251400,220800,0.0308641975308642,0.104938271604938,0.888888888888889,0.0864197530864197,1,0
"87",87,"Census Tract 74.03",0,0,0,0,0.0249066435084672,27333,31647,31647,27652,29912,229800,221300,221300,205000,154500,0.166666666666667,0.0308641975308642,0.969135802469136,0.0864197530864197,1,0
"88",88,"Census Tract 74.04",0,0,0,0,0.119085158150852,26250,26681,26681,28347,29595,292000,286600,286600,247800,281900,0.154320987654321,0.265432098765432,0.117283950617284,0.0864197530864197,1,0
"89",89,"Census Tract 74.06",3.4,3.7,3.7,4.6,0.0458164524421594,27838,27333,27333,21484,28403,322100,350000,350000,316700,310700,0.12962962962963,0.308641975308642,0.574074074074074,0.234567901234568,1,0
"90",90,"Census Tract 74.07",7.6,6.7,6.7,11.3,0.0561648351648352,36453,36332,36332,37586,36810,239700,261400,261400,248600,229200,0.290123456790123,0.123456790123457,0.790123456790123,0.37037037037037,1,0
